tau,cvxvx
0.02457672,6824.14293316
0.02460672,6814.42701232
0.02463673,6804.67352572
0.02466674,6794.88397555
0.02469675,6785.06153878
0.02472676,6775.21951011
0.02475676,6765.36177960
0.02478677,6755.50584375
0.02481678,6745.65602151
0.02484679,6735.81930107
0.02487680,6725.99562040
0.02490681,6716.19214136
0.02493681,6706.40958267
0.02496682,6696.63986434
0.02499683,6686.87177675
0.02502684,6677.10132658
0.02505685,6667.33211309
0.02508686,6657.56366583
0.02511686,6647.79792290
0.02514687,6638.03242926
0.02517688,6628.26359881
0.02520689,6618.49136174
0.02523690,6608.71980647
0.02526690,6598.95529767
0.02529691,6589.21258594
0.02532692,6579.50519704
0.02535693,6569.84428616
0.02538694,6560.24157856
0.02541695,6550.69795520
0.02544695,6541.20876713
0.02547696,6531.76527131
0.02550697,6522.35316765
0.02553698,6512.95753419
0.02556699,6503.56806103
0.02559699,6494.18127316
0.02562700,6484.79717463
0.02565701,6475.42225202
0.02568702,6466.05833153
0.02571703,6456.70502754
0.02574704,6447.36459871
0.02577704,6438.04511190
0.02580705,6428.74446899
0.02583706,6419.46792037
0.02586707,6410.21724029
0.02589708,6400.99565860
0.02592708,6391.80736585
0.02595709,6382.66530202
0.02598710,6373.58164099
0.02601711,6364.56178327
0.02604712,6355.61171507
0.02607713,6346.72831305
0.02610713,6337.90879062
0.02613714,6329.15357423
0.02616715,6320.45964254
0.02619716,6311.82280972
0.02622717,6303.23713805
0.02625717,6294.69405599
0.02628718,6286.18897704
0.02631719,6277.71420676
0.02634720,6269.26495384
0.02637721,6260.82992982
0.02640722,6252.40253186
0.02643722,6243.98023939
0.02646723,6235.56073774
0.02649724,6227.14698020
0.02652725,6218.74574803
0.02655726,6210.35725693
0.02658727,6201.98127410
0.02661727,6193.62243669
0.02664728,6185.28523776
0.02667729,6176.96894265
0.02670730,6168.67221127
0.02673731,6160.39170257
0.02676731,6152.13276820
0.02679732,6143.89146857
0.02682733,6135.67283272
0.02685734,6127.48179548
0.02688735,6119.32411186
0.02691736,6111.20566066
0.02694736,6103.13221930
0.02697737,6095.10529835
0.02700738,6087.11908125
0.02703739,6079.16634967
0.02706740,6071.24432684
0.02709740,6063.34458676
0.02712741,6055.46412344
0.02715742,6047.60432555
0.02718743,6039.76574301
0.02721744,6031.94340643
0.02724745,6024.13054945
0.02727745,6016.31024123
0.02730746,6008.46954504
0.02733747,6000.59610827
0.02736748,5992.67887537
0.02739749,5984.71601057
0.02742749,5976.70863585
0.02745750,5968.65369688
0.02748751,5960.55235974
0.02751752,5952.39921239
0.02754753,5944.19430789
0.02757754,5935.93471897
0.02760754,5927.62535504
0.02763755,5919.27073210
0.02766756,5910.87976434
0.02769757,5902.46108382
0.02772758,5894.01525441
0.02775758,5885.55590919
0.02778759,5877.08837500
0.02781760,5868.62583235
0.02784761,5860.17819890
0.02787762,5851.75164540
0.02790763,5843.34815814
0.02793763,5834.96483719
0.02796764,5826.59202101
0.02799765,5818.22580460
0.02802766,5809.86189871
0.02805767,5801.50061912
0.02808768,5793.14123713
0.02811768,5784.78540074
0.02814769,5776.43417353
0.02817770,5768.08836384
0.02820771,5759.75675360
0.02823772,5751.44158539
0.02826772,5743.14419967
0.02829773,5734.87250314
0.02832774,5726.62542868
0.02835775,5718.40483897
0.02838776,5710.21378719
0.02841777,5702.06243142
0.02844777,5693.95670140
0.02847778,5685.89953575
0.02850779,5677.89063195
0.02853780,5669.92173621
0.02856781,5661.98230110
0.02859781,5654.05765469
0.02862782,5646.12915110
0.02865783,5638.18271577
0.02868784,5630.20138915
0.02871785,5622.18143651
0.02874786,5614.12034970
0.02877786,5606.01863531
0.02880787,5597.87953915
0.02883788,5589.70465496
0.02886789,5581.49830570
0.02889790,5573.26249063
0.02892790,5564.99792097
0.02895791,5556.70806643
0.02898792,5548.40097122
0.02901793,5540.08372873
0.02904794,5531.75569184
0.02907795,5523.42410594
0.02910795,5515.08869063
0.02913796,5506.75279044
0.02916797,5498.41118566
0.02919798,5490.06123438
0.02922799,5481.69067721
0.02925799,5473.28936562
0.02928800,5464.85076434
0.02931801,5456.36944669
0.02934802,5447.84475257
0.02937803,5439.27257868
0.02940804,5430.66060006
0.02943804,5422.01027678
0.02946805,5413.32647248
0.02949806,5404.61239915
0.02952807,5395.87081967
0.02955808,5387.10731912
0.02958809,5378.32995331
0.02961809,5369.55154779
0.02964810,5360.78389640
0.02967811,5352.04116566
0.02970812,5343.33501387
0.02973813,5334.67386765
0.02976813,5326.06267701
0.02979814,5317.51115607
0.02982815,5309.02781562
0.02985816,5300.61645478
0.02988817,5292.26945551
0.02991818,5283.98409963
0.02994818,5275.75301440
0.02997819,5267.57214835
0.03000820,5259.44073088
0.03003821,5251.36267711
0.03006822,5243.33684669
0.03009822,5235.36652555
0.03012823,5227.45165588
0.03015824,5219.58014007
0.03018825,5211.75283603
0.03021826,5203.95878897
0.03024827,5196.17900926
0.03027827,5188.40358057
0.03030828,5180.61870827
0.03033829,5172.81591691
0.03036830,5164.99490908
0.03039831,5157.15523159
0.03042831,5149.30665432
0.03045832,5141.45648561
0.03048833,5133.60799426
0.03051834,5125.76576733
0.03054835,5117.93485675
0.03057836,5110.12048493
0.03060836,5102.32920004
0.03063837,5094.56320863
0.03066838,5086.82364013
0.03069839,5079.11964700
0.03072840,5071.45691273
0.03075840,5063.84592004
0.03078841,5056.28868272
0.03081842,5048.78686360
0.03084843,5041.33081176
0.03087844,5033.91671048
0.03090845,5026.53541724
0.03093845,5019.17723449
0.03096846,5011.83641574
0.03099847,5004.50696441
0.03102848,4997.17969175
0.03105849,4989.83920583
0.03108850,4982.47639972
0.03111850,4975.08661239
0.03114851,4967.66846691
0.03117852,4960.23468158
0.03120853,4952.79222562
0.03123854,4945.35174301
0.03126854,4937.92564504
0.03129855,4930.52785583
0.03132856,4923.16761783
0.03135857,4915.84909265
0.03138858,4908.58104798
0.03141859,4901.36400869
0.03144859,4894.20115757
0.03147860,4887.09944647
0.03150861,4880.06549864
0.03153862,4873.09984362
0.03156863,4866.19840199
0.03159863,4859.35502978
0.03162864,4852.55909118
0.03165865,4845.79227300
0.03168866,4839.04830256
0.03171867,4832.31786392
0.03174868,4825.58936893
0.03177868,4818.85850037
0.03180869,4812.11002684
0.03183870,4805.34202390
0.03186871,4798.55737500
0.03189872,4791.76451254
0.03192872,4784.96889504
0.03195873,4778.18349798
0.03198874,4771.40982665
0.03201875,4764.65252132
0.03204876,4757.91583254
0.03207877,4751.20486619
0.03210877,4744.51787730
0.03213878,4737.85266298
0.03216879,4731.20554901
0.03219880,4724.58195610
