tau,c_fx_fx,c_fx_fy,c_fy_fy
0.00055350,-391367087.70220590,-22463982.92279412,-363154710.29411763
0.00055500,-392505397.24264705,-22129800.05698529,-364362633.18014705
0.00055650,-393624517.46323532,-21793259.55882353,-365558377.57352942
0.00055800,-394725097.61029410,-21456703.86029412,-366741675.18382353
0.00055950,-395805406.23161763,-21119324.63235294,-367910855.79044116
0.00056100,-396868015.84558821,-20781290.60661765,-369069212.13235295
0.00056250,-397912928.12500000,-20443464.96323529,-370214093.47426468
0.00056400,-398938977.68382353,-20104324.22794118,-371348460.29411763
0.00056550,-399947347.61029410,-19766390.38602941,-372470779.41176468
0.00056700,-400938008.52941179,-19426863.41911765,-373582444.74264705
0.00056850,-401912853.84191179,-19088844.19117647,-374683391.72794116
0.00057000,-402870168.06985295,-18749712.13235294,-375773850.77205884
0.00057150,-403811517.09558821,-18410278.52941176,-376853765.62500000
0.00057300,-404735573.91544116,-18072375.36764706,-377924486.02941179
0.00057450,-405643837.42647058,-17734164.52205882,-378984288.41911763
0.00057600,-406536698.78676468,-17396567.84926471,-380035483.08823532
0.00057750,-407414530.51470590,-17059678.67647059,-381078135.66176468
0.00057900,-408277518.01470590,-16722905.51470588,-382112264.13602942
0.00058050,-409123909.37500000,-16387143.75000000,-383136336.94852942
0.00058200,-409956764.33823532,-16052318.93382353,-384153371.69117647
0.00058350,-410774755.14705884,-15718313.78676471,-385162572.38970590
0.00058500,-411578416.91176468,-15384831.90441176,-386164250.73529410
0.00058650,-412368841.25000000,-15052179.83455882,-387157860.38602942
0.00058800,-413145043.93382353,-14721709.92647059,-388144619.48529410
0.00058950,-413907524.26470590,-14392152.15073529,-389125605.88235295
0.00059100,-414656890.99264705,-14063159.09926471,-390099387.50000000
0.00059250,-415393039.52205884,-13735970.42849265,-391066090.55147058
0.00059400,-416116440.25735295,-13409738.75000000,-392027926.10294116
0.00059550,-416826226.65441179,-13085449.17279412,-392984091.87500000
0.00059700,-417524205.69852942,-12763557.75735294,-393936051.65441179
0.00059850,-418209912.86764705,-12441198.71323529,-394880429.02573532
0.00060000,-418884156.06617647,-12122330.33088235,-395822282.35294116
0.00060150,-419545094.11764705,-11805130.51470588,-396756883.27205884
0.00060300,-420194914.33823532,-11489361.65441176,-397689948.71323532
0.00060450,-420832919.66911763,-11175299.15441176,-398617006.61764705
0.00060600,-421459877.55514705,-10864310.84558824,-399541764.52205884
0.00060750,-422075276.98529410,-10555048.52941176,-400462405.51470590
0.00060900,-422679627.07720590,-10247712.86764706,-401379647.51838237
0.00061050,-423272021.48897058,-9942950.36764706,-402293948.34558821
0.00061200,-423854087.27205884,-9640351.65441176,-403204783.82352942
0.00061350,-424426391.83823532,-9340330.75367647,-404113340.80882353
0.00061500,-424986034.39338237,-9042127.75735294,-405019929.24632353
0.00061650,-425536969.68750000,-8747601.10294118,-405924288.63970590
0.00061800,-426076755.51470590,-8455004.22794118,-406827374.50000000
0.00061950,-426606892.45036763,-8164691.26838235,-407727506.98529410
0.00062100,-427126169.00183821,-7878090.62500000,-408626220.03676468
0.00062250,-427635453.67647058,-7593663.97058824,-409523471.98529410
0.00062400,-428135620.88235295,-7312106.98529412,-410420561.59926468
0.00062550,-428625775.55147058,-7034069.55882353,-411315302.57352942
0.00062700,-429106741.91176468,-6758099.26470588,-412210018.01470590
0.00062850,-429576812.86764705,-6486094.85294118,-413103258.27205884
0.00063000,-430038319.30147058,-6216413.23529412,-413997038.58455884
0.00063150,-430491247.77941179,-5949201.28676471,-414888578.67647058
